Flipper Length (mm),Body Mass (g)
181,3750
186,3800
195,3250
193,3450
190,3650
181,3625
195,4675
193,3475
190,4250
186,3300
180,3700
182,3200
191,3800
198,4400
185,3700
195,3450
197,4500
184,3325
194,4200
174,3400
180,3600
189,3800
185,3950
180,3800
187,3800
183,3550
187,3200
172,3150
180,3950
178,3250
178,3900
188,3300
184,3900
195,3325
196,4150
190,3950
180,3550
181,3300
184,4650
182,3150
195,3900
186,3100
196,4400
185,3000
190,4600
182,3425
179,2975
190,3450
191,4150
186,3500
188,4300
190,3450
200,4050
187,2900
191,3700
186,3550
193,3800
181,2850
194,3750
185,3150
195,4400
185,3600
192,4050
184,2850
192,3950
195,3350
188,4100
190,3050
198,4450
190,3600
190,3900
196,3550
197,4150
190,3700
195,4250
191,3700
184,3900
187,3550
195,4000
189,3200
196,4700
187,3800
193,4200
191,3350
194,3550
190,3800
189,3500
189,3950
190,3600
202,3550
205,4300
185,3400
186,4450
187,3300
208,4300
190,3700
196,4350
178,2900
192,4100
192,3725
203,4725
183,3075
190,4250
193,2925
184,3550
199,3750
190,3900
181,3175
197,4775
198,3825
191,4600
193,3200
197,4275
191,3900
196,4075
188,2900
199,3775
189,3350
189,3325
187,3150
198,3500
176,3450
202,3875
186,3050
199,4000
191,3275
195,4300
191,3050
210,4000
190,3325
197,3500
193,3500
199,4475
187,3425
190,3900
191,3175
200,3975
185,3400
193,4250
193,3400
187,3475
188,3050
190,3725
192,3000
185,3650
190,4250
184,3475
195,3450
193,3750
187,3700
201,4000
211,4500
230,5700
210,4450
218,5700
215,5400
210,4550
211,4800
219,5200
209,4400
215,5150
214,4650
216,5550
214,4650
213,5850
210,4200
217,5850
210,4150
221,6300
209,4800
222,5350
218,5700
215,5000
213,4400
215,5050
215,5000
215,5100
216,4100
215,5650
210,4600
220,5550
222,5250
209,4700
207,5050
230,6050
220,5150
220,5400
213,4950
219,5250
208,4350
208,5350
208,3950
225,5700
210,4300
216,4750
222,5550
217,4900
210,4200
225,5400
213,5100
